test_year,horizon,cohort,contrast,metric,n,n_areas,point_delta,ci_low,ci_high,interval_status,interval_reason,first_calibration,second_calibration,diagnostic_only
2026,0,share_history_subset,augmented_D_selected-share_persistence,r2,904,904,-0.3915948669463546,-0.4628653454295026,-0.32131746938730904,ok,,ok,ok,False
2026,0,share_history_subset,augmented_D_selected-share_persistence,rmse,904,904,0.0356756356046066,0.029011372514603038,0.042349544571975574,ok,,ok,ok,False
2026,0,share_history_subset,augmented_D_selected-share_persistence,auc,904,904,-0.08708493097671377,-0.11663764574271306,-0.05612970596950528,ok,,ok,ok,False
2026,12,primary,augmented_D_direct-original_D_direct,r2,132,132,-0.16578364973857007,-0.28134132274633433,-0.05963168513276543,ok,,ok,ok,False
2026,12,primary,augmented_D_direct-original_D_direct,rmse,132,132,0.013376809969932818,0.004777444234626839,0.02239687352433427,ok,,ok,ok,False
2026,12,primary,augmented_D_direct-original_D_direct,auc,132,132,0.10784313725490202,0.014769273421926491,0.20228231837606844,ok,,ok,ok,False
2026,12,primary,augmented_D_residual-original_D_residual,r2,132,132,0.050045148234540315,-0.01656050789490392,0.11986159891352463,ok,,calibrated_unavailable,calibrated_unavailable,True
2026,12,primary,augmented_D_residual-original_D_residual,rmse,132,132,-0.004753760762802012,-0.010690858193644468,0.0015609939891802814,ok,,calibrated_unavailable,calibrated_unavailable,True
2026,12,primary,augmented_D_residual-original_D_residual,auc,132,132,0.03025901718712176,-0.02332745173686756,0.08438100961538456,ok,,calibrated_unavailable,calibrated_unavailable,True
2026,12,primary,augmented_D_selected-original_D_selected,r2,132,132,0.289689019432942,0.12644819036191193,0.47056653263686615,ok,,calibrated_unavailable,ok,True
2026,12,primary,augmented_D_selected-original_D_selected,rmse,132,132,-0.02591001997545167,-0.040269498929146996,-0.01129395907783029,ok,,calibrated_unavailable,ok,True
2026,12,primary,augmented_D_selected-original_D_selected,auc,132,132,0.07613168724279851,-0.00838093976248824,0.16210406529413238,ok,,calibrated_unavailable,ok,True
2026,12,share_history_subset,original_D_selected-share_persistence,r2,132,132,0.03963018711354471,-0.14962287923726286,0.24585731688977666,ok,,ok,ok,False
2026,12,share_history_subset,original_D_selected-share_persistence,rmse,132,132,-0.0032801885289105714,-0.018786968778805258,0.01316192377578681,ok,,ok,ok,False
2026,12,share_history_subset,original_D_selected-share_persistence,auc,132,132,-0.11147421931735668,-0.20757796847768323,-0.01329230585857618,ok,,ok,ok,False
2026,12,share_history_subset,augmented_D_selected-share_persistence,r2,132,132,0.3293192065464867,0.1142640772801421,0.5612496979730204,ok,,calibrated_unavailable,ok,True
2026,12,share_history_subset,augmented_D_selected-share_persistence,rmse,132,132,-0.02919020850436224,-0.046370719143481544,-0.01092042372869812,ok,,calibrated_unavailable,ok,True
2026,12,share_history_subset,augmented_D_selected-share_persistence,auc,132,132,-0.035342532074558175,-0.10912712609410234,0.033118286778378525,ok,,calibrated_unavailable,ok,True
