check,year,horizon,arm,cohort,pass,detail,contrast
metric_f2,2025,6,B,persistence_subset,True,,
metric_precision,2025,6,B,persistence_subset,True,,
metric_recall,2025,6,B,persistence_subset,True,,
metric_accuracy,2025,6,B,persistence_subset,True,,
metric_r2_q3,2025,6,B,persistence_subset,True,,
metric_f2,2025,6,C,persistence_subset,True,,
metric_precision,2025,6,C,persistence_subset,True,,
metric_recall,2025,6,C,persistence_subset,True,,
metric_accuracy,2025,6,C,persistence_subset,True,,
metric_r2_q3,2025,6,C,persistence_subset,True,,
metric_f2,2025,6,D,persistence_subset,True,,
metric_precision,2025,6,D,persistence_subset,True,,
metric_recall,2025,6,D,persistence_subset,True,,
metric_accuracy,2025,6,D,persistence_subset,True,,
metric_r2_q3,2025,6,D,persistence_subset,True,,
metric_f2,2025,6,always_crisis,persistence_subset,True,,
metric_precision,2025,6,always_crisis,persistence_subset,True,,
metric_recall,2025,6,always_crisis,persistence_subset,True,,
metric_accuracy,2025,6,always_crisis,persistence_subset,True,,
metric_r2_q3,2025,6,always_crisis,persistence_subset,True,,
metric_f2,2025,6,persistence,persistence_subset,True,,
metric_precision,2025,6,persistence,persistence_subset,True,,
metric_recall,2025,6,persistence,persistence_subset,True,,
metric_accuracy,2025,6,persistence,persistence_subset,True,,
metric_r2_q3,2025,6,persistence,persistence_subset,True,,
metric_f2,2025,12,A,primary,True,,
metric_precision,2025,12,A,primary,True,,
metric_recall,2025,12,A,primary,True,,
metric_accuracy,2025,12,A,primary,True,,
metric_r2_q3,2025,12,A,primary,True,,
metric_f2,2025,12,B,primary,True,,
metric_precision,2025,12,B,primary,True,,
metric_recall,2025,12,B,primary,True,,
metric_accuracy,2025,12,B,primary,True,,
metric_r2_q3,2025,12,B,primary,True,,
metric_f2,2025,12,C,primary,True,,
metric_precision,2025,12,C,primary,True,,
metric_recall,2025,12,C,primary,True,,
metric_accuracy,2025,12,C,primary,True,,
metric_r2_q3,2025,12,C,primary,True,,
metric_f2,2025,12,D,primary,True,,
metric_precision,2025,12,D,primary,True,,
metric_recall,2025,12,D,primary,True,,
metric_accuracy,2025,12,D,primary,True,,
metric_r2_q3,2025,12,D,primary,True,,
metric_f2,2025,12,always_crisis,primary,True,,
metric_precision,2025,12,always_crisis,primary,True,,
metric_recall,2025,12,always_crisis,primary,True,,
metric_accuracy,2025,12,always_crisis,primary,True,,
metric_r2_q3,2025,12,always_crisis,primary,True,,
metric_f2,2025,12,A,persistence_subset,True,,
metric_precision,2025,12,A,persistence_subset,True,,
metric_recall,2025,12,A,persistence_subset,True,,
metric_accuracy,2025,12,A,persistence_subset,True,,
