column,status,n_mismatch,horizon,unmatched_keys,skipped_invalid_phase_ref_rows
EVI_mean__hist_same_month_pctnormal_l12,ok,0,0,0,0
EVI_mean__hist_same_month_z_l12,ok,0,0,0,0
EVI_mean__hist_same_month_pctile_l12,ok,0,0,0,0
GPP_mean__hist_same_month_anom_l12,ok,0,0,0,0
GPP_mean__hist_same_month_pctnormal_l12,ok,0,0,0,0
GPP_mean__hist_same_month_z_l12,ok,0,0,0,0
GPP_mean__hist_same_month_pctile_l12,ok,0,0,0,0
nightlight_mean__hist_same_month_anom_l12,ok,0,0,0,0
nightlight_mean__hist_same_month_pctnormal_l12,ok,0,0,0,0
nightlight_mean__hist_same_month_z_l12,ok,0,0,0,0
nightlight_mean__hist_same_month_pctile_l12,ok,0,0,0,0
FAO_price__hist_same_month_anom_l12,ok,0,0,0,0
FAO_price__hist_same_month_pctnormal_l12,ok,0,0,0,0
FAO_price__hist_same_month_z_l12,ok,0,0,0,0
FAO_price__hist_same_month_pctile_l12,ok,0,0,0,0
WFP_Price__hist_same_month_anom_l12,ok,0,0,0,0
WFP_Price__hist_same_month_pctnormal_l12,ok,0,0,0,0
WFP_Price__hist_same_month_z_l12,ok,0,0,0,0
WFP_Price__hist_same_month_pctile_l12,ok,0,0,0,0
food_price_index_WB__hist_same_month_anom_l12,ok,0,0,0,0
food_price_index_WB__hist_same_month_pctnormal_l12,ok,0,0,0,0
food_price_index_WB__hist_same_month_z_l12,ok,0,0,0,0
food_price_index_WB__hist_same_month_pctile_l12,ok,0,0,0,0
nino34_anom__hist_same_month_anom_l12,ok,0,0,0,0
nino34_anom__hist_same_month_pctnormal_l12,ok,0,0,0,0
nino34_anom__hist_same_month_z_l12,ok,0,0,0,0
nino34_anom__hist_same_month_pctile_l12,ok,0,0,0,0
Rainf_f_tavg_mean__deficit_stress__share12_asof12__x__EVI_mean__vegetation_stress__share12_asof12,ok,0,0,0,0
nino34_anom__enso_stress__share12_asof12__x__Rainf_f_tavg_mean__deficit_stress__share12_asof12,ok,0,0,0,0
Rainf_f_tavg_mean__deficit_stress__share12_asof12__x__popdensity,ok,0,0,0,0
Rainf_f_tavg_mean__deficit_stress__share12_asof12__x__market_access,ok,0,0,0,0
event_count_violence__nonzero_stress__share12_asof12__x__popdensity,ok,0,0,0,0
event_count_violence__nonzero_stress__share12_asof12__x__market_access,ok,0,0,0,0
neighbor3_mean__event_count_violence__nonzero_stress__share12_asof12,ok,0,0,0,0
neighbor3_mean__Rainf_f_tavg_mean__deficit_stress__share12_asof12,ok,0,0,0,0
Rainf_f_tavg_mean__l0_s0,ok,0,0,0,0
Rainf_f_tavg_mean__roll3_mean_asof0_s0,ok,0,0,0,0
Rainf_f_tavg_mean__roll6_mean_asof0_s0,ok,0,0,0,0
Rainf_f_tavg_mean__roll12_mean_asof0_s0,ok,0,0,0,0
Rainf_f_tavg_mean__slope6_asof0_s0,ok,0,0,0,0
Rainf_f_tavg_mean__slope12_asof0_s0,ok,0,0,0,0
Rainf_f_tavg_mean__roll12_std_asof0_s0,ok,0,0,0,0
Rainf_f_tavg_mean__roll12_iqr_asof0_s0,ok,0,0,0,0
Rainf_f_tavg_mean__deficit_stress__share12_asof0_s0,ok,0,0,0,0
Rainf_f_tavg_mean__deficit_stress__months_since_asof0_s0,ok,0,0,0,0
Rainf_f_tavg_mean__deficit_stress__longest_run12_asof0_s0,ok,0,0,0,0
Rainf_f_tavg_mean__deficit_stress__any12_asof0_s0,ok,0,0,0,0
neighbor3_mean__Rainf_f_tavg_mean__deficit_stress__share12_asof0_s0,ok,0,0,0,0
Tair_f_tavg_mean__l0_s0,ok,0,0,0,0
Tair_f_tavg_mean__roll3_mean_asof0_s0,ok,0,0,0,0
Tair_f_tavg_mean__roll6_mean_asof0_s0,ok,0,0,0,0
Tair_f_tavg_mean__roll12_mean_asof0_s0,ok,0,0,0,0
Tair_f_tavg_mean__slope6_asof0_s0,ok,0,0,0,0
Tair_f_tavg_mean__slope12_asof0_s0,ok,0,0,0,0
Tair_f_tavg_mean__roll12_std_asof0_s0,ok,0,0,0,0
Tair_f_tavg_mean__roll12_iqr_asof0_s0,ok,0,0,0,0
Tair_f_tavg_mean__hot_stress__share12_asof0_s0,ok,0,0,0,0
Tair_f_tavg_mean__hot_stress__months_since_asof0_s0,ok,0,0,0,0
Tair_f_tavg_mean__hot_stress__longest_run12_asof0_s0,ok,0,0,0,0
Tair_f_tavg_mean__hot_stress__any12_asof0_s0,ok,0,0,0,0
SoilMoi00_10cm_tavg_mean__l0_s0,ok,0,0,0,0
SoilMoi00_10cm_tavg_mean__roll3_mean_asof0_s0,ok,0,0,0,0
SoilMoi00_10cm_tavg_mean__roll6_mean_asof0_s0,ok,0,0,0,0
SoilMoi00_10cm_tavg_mean__roll12_mean_asof0_s0,ok,0,0,0,0
SoilMoi00_10cm_tavg_mean__slope6_asof0_s0,ok,0,0,0,0
SoilMoi00_10cm_tavg_mean__slope12_asof0_s0,ok,0,0,0,0
EVI_mean__l0_s0,ok,0,0,0,0
EVI_mean__roll3_mean_asof0_s0,ok,0,0,0,0
EVI_mean__roll6_mean_asof0_s0,ok,0,0,0,0
EVI_mean__roll12_mean_asof0_s0,ok,0,0,0,0
EVI_mean__slope6_asof0_s0,ok,0,0,0,0
EVI_mean__slope12_asof0_s0,ok,0,0,0,0
EVI_mean__roll12_std_asof0_s0,ok,0,0,0,0
EVI_mean__roll12_iqr_asof0_s0,ok,0,0,0,0
EVI_mean__vegetation_stress__share12_asof0_s0,ok,0,0,0,0
EVI_mean__vegetation_stress__months_since_asof0_s0,ok,0,0,0,0
EVI_mean__vegetation_stress__longest_run12_asof0_s0,ok,0,0,0,0
EVI_mean__vegetation_stress__any12_asof0_s0,ok,0,0,0,0
GPP_mean__l0_s0,ok,0,0,0,0
GPP_mean__roll3_mean_asof0_s0,ok,0,0,0,0
GPP_mean__roll6_mean_asof0_s0,ok,0,0,0,0
GPP_mean__roll12_mean_asof0_s0,ok,0,0,0,0
GPP_mean__slope6_asof0_s0,ok,0,0,0,0
GPP_mean__slope12_asof0_s0,ok,0,0,0,0
GPP_mean__roll12_std_asof0_s0,ok,0,0,0,0
GPP_mean__roll12_iqr_asof0_s0,ok,0,0,0,0
GPP_mean__vegetation_stress__share12_asof0_s0,ok,0,0,0,0
GPP_mean__vegetation_stress__months_since_asof0_s0,ok,0,0,0,0
GPP_mean__vegetation_stress__longest_run12_asof0_s0,ok,0,0,0,0
GPP_mean__vegetation_stress__any12_asof0_s0,ok,0,0,0,0
nightlight_mean__l0_s0,ok,0,0,0,0
nightlight_mean__roll3_mean_asof0_s0,ok,0,0,0,0
nightlight_mean__roll6_mean_asof0_s0,ok,0,0,0,0
nightlight_mean__roll12_mean_asof0_s0,ok,0,0,0,0
nightlight_mean__slope6_asof0_s0,ok,0,0,0,0
nightlight_mean__slope12_asof0_s0,ok,0,0,0,0
event_count_violence__l0_s0,ok,0,0,0,0
event_count_violence__roll3_mean_asof0_s0,ok,0,0,0,0
