check,pass,detail
bootstrap_y2026_h12_D_residual-D_direct__auc,True,
bootstrap_whole_area_y2026_h12_D_residual-D_direct__auc,True,
bootstrap_y2026_h12_D_selected-share_persistence__r2,True,
bootstrap_whole_area_y2026_h12_D_selected-share_persistence__r2,True,
bootstrap_y2026_h12_D_selected-share_persistence__rmse,True,
bootstrap_whole_area_y2026_h12_D_selected-share_persistence__rmse,True,
bootstrap_y2026_h12_D_selected-share_persistence__auc,True,
bootstrap_whole_area_y2026_h12_D_selected-share_persistence__auc,True,
mapping_fit_rows_y2025_h00_o2025-04_A_direct,True,
mapping_shift_y2025_h00_o2025-04_A_direct,True,
mapping_fit_rows_y2025_h00_o2025-04_B_direct,True,
mapping_shift_y2025_h00_o2025-04_B_direct,True,
mapping_fit_rows_y2025_h00_o2025-04_D_residual_residual,True,
mapping_isotonic_y2025_h00_o2025-04_D_residual_residual,True,
mapping_fit_rows_y2025_h00_o2025-04_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h00_o2025-04_D_residual_fallback_direct,True,
mapping_fit_rows_y2025_h00_o2025-07_A_direct,True,
mapping_shift_y2025_h00_o2025-07_A_direct,True,
mapping_fit_rows_y2025_h00_o2025-07_B_direct,True,
mapping_shift_y2025_h00_o2025-07_B_direct,True,
mapping_fit_rows_y2025_h00_o2025-07_D_residual_residual,True,
mapping_isotonic_y2025_h00_o2025-07_D_residual_residual,True,
mapping_fit_rows_y2025_h00_o2025-07_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h00_o2025-07_D_residual_fallback_direct,True,
mapping_fit_rows_y2025_h00_o2025-09_A_direct,True,
mapping_shift_y2025_h00_o2025-09_A_direct,True,
mapping_fit_rows_y2025_h00_o2025-09_B_direct,True,
mapping_shift_y2025_h00_o2025-09_B_direct,True,
mapping_fit_rows_y2025_h00_o2025-09_D_residual_residual,True,
mapping_isotonic_y2025_h00_o2025-09_D_residual_residual,True,
mapping_fit_rows_y2025_h00_o2025-09_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h00_o2025-09_D_residual_fallback_direct,True,
mapping_fit_rows_y2025_h00_o2025-10_A_direct,True,
mapping_shift_y2025_h00_o2025-10_A_direct,True,
mapping_fit_rows_y2025_h00_o2025-10_B_direct,True,
mapping_shift_y2025_h00_o2025-10_B_direct,True,
mapping_fit_rows_y2025_h00_o2025-10_D_residual_residual,True,
mapping_isotonic_y2025_h00_o2025-10_D_residual_residual,True,
mapping_fit_rows_y2025_h00_o2025-10_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h00_o2025-10_D_residual_fallback_direct,True,
mapping_fit_rows_y2026_h00_o2026-04_A_direct,True,
mapping_isotonic_y2026_h00_o2026-04_A_direct,True,
mapping_fit_rows_y2026_h00_o2026-04_B_direct,True,
mapping_isotonic_y2026_h00_o2026-04_B_direct,True,
mapping_fit_rows_y2026_h00_o2026-04_D_direct_direct,True,
mapping_shift_y2026_h00_o2026-04_D_direct_direct,True,
mapping_fit_rows_y2026_h00_o2026-04_D_residual_residual,True,
mapping_shift_y2026_h00_o2026-04_D_residual_residual,True,
mapping_fit_rows_y2026_h00_o2026-04_D_residual_fallback_direct,True,
mapping_shift_y2026_h00_o2026-04_D_residual_fallback_direct,True,
mapping_fit_rows_y2025_h03_o2025-01_A_direct,True,
mapping_shift_y2025_h03_o2025-01_A_direct,True,
mapping_fit_rows_y2025_h03_o2025-01_B_direct,True,
mapping_shift_y2025_h03_o2025-01_B_direct,True,
mapping_fit_rows_y2025_h03_o2025-01_C_direct,True,
mapping_shift_y2025_h03_o2025-01_C_direct,True,
mapping_fit_rows_y2025_h03_o2025-01_D_residual_residual,True,
mapping_isotonic_y2025_h03_o2025-01_D_residual_residual,True,
mapping_fit_rows_y2025_h03_o2025-01_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h03_o2025-01_D_residual_fallback_direct,True,
mapping_fit_rows_y2025_h03_o2025-04_A_direct,True,
mapping_shift_y2025_h03_o2025-04_A_direct,True,
mapping_fit_rows_y2025_h03_o2025-04_B_direct,True,
mapping_shift_y2025_h03_o2025-04_B_direct,True,
mapping_fit_rows_y2025_h03_o2025-04_C_direct,True,
mapping_shift_y2025_h03_o2025-04_C_direct,True,
mapping_fit_rows_y2025_h03_o2025-04_D_residual_residual,True,
mapping_isotonic_y2025_h03_o2025-04_D_residual_residual,True,
mapping_fit_rows_y2025_h03_o2025-04_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h03_o2025-04_D_residual_fallback_direct,True,
mapping_fit_rows_y2025_h03_o2025-06_A_direct,True,
mapping_shift_y2025_h03_o2025-06_A_direct,True,
mapping_fit_rows_y2025_h03_o2025-06_B_direct,True,
mapping_shift_y2025_h03_o2025-06_B_direct,True,
mapping_fit_rows_y2025_h03_o2025-06_C_direct,True,
mapping_shift_y2025_h03_o2025-06_C_direct,True,
mapping_fit_rows_y2025_h03_o2025-06_D_residual_residual,True,
mapping_isotonic_y2025_h03_o2025-06_D_residual_residual,True,
mapping_fit_rows_y2025_h03_o2025-06_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h03_o2025-06_D_residual_fallback_direct,True,
mapping_fit_rows_y2025_h03_o2025-07_A_direct,True,
mapping_shift_y2025_h03_o2025-07_A_direct,True,
mapping_fit_rows_y2025_h03_o2025-07_B_direct,True,
mapping_shift_y2025_h03_o2025-07_B_direct,True,
mapping_fit_rows_y2025_h03_o2025-07_C_direct,True,
mapping_shift_y2025_h03_o2025-07_C_direct,True,
mapping_fit_rows_y2025_h03_o2025-07_D_residual_residual,True,
mapping_isotonic_y2025_h03_o2025-07_D_residual_residual,True,
mapping_fit_rows_y2025_h03_o2025-07_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h03_o2025-07_D_residual_fallback_direct,True,
mapping_fit_rows_y2026_h03_o2026-01_A_direct,True,
mapping_isotonic_y2026_h03_o2026-01_A_direct,True,
mapping_fit_rows_y2026_h03_o2026-01_B_direct,True,
mapping_isotonic_y2026_h03_o2026-01_B_direct,True,
mapping_fit_rows_y2026_h03_o2026-01_C_direct,True,
mapping_isotonic_y2026_h03_o2026-01_C_direct,True,
mapping_fit_rows_y2026_h03_o2026-01_D_direct_direct,True,
mapping_shift_y2026_h03_o2026-01_D_direct_direct,True,
mapping_fit_rows_y2026_h03_o2026-01_D_residual_residual,True,
mapping_shift_y2026_h03_o2026-01_D_residual_residual,True,
mapping_fit_rows_y2026_h03_o2026-01_D_residual_fallback_direct,True,
mapping_shift_y2026_h03_o2026-01_D_residual_fallback_direct,True,
mapping_fit_rows_y2025_h06_o2024-10_A_direct,True,
mapping_shift_y2025_h06_o2024-10_A_direct,True,
mapping_fit_rows_y2025_h06_o2024-10_B_direct,True,
mapping_shift_y2025_h06_o2024-10_B_direct,True,
mapping_fit_rows_y2025_h06_o2024-10_C_direct,True,
mapping_shift_y2025_h06_o2024-10_C_direct,True,
mapping_fit_rows_y2025_h06_o2024-10_D_residual_residual,True,
mapping_isotonic_y2025_h06_o2024-10_D_residual_residual,True,
mapping_fit_rows_y2025_h06_o2024-10_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h06_o2024-10_D_residual_fallback_direct,True,
mapping_fit_rows_y2025_h06_o2025-01_A_direct,True,
mapping_shift_y2025_h06_o2025-01_A_direct,True,
mapping_fit_rows_y2025_h06_o2025-01_B_direct,True,
mapping_shift_y2025_h06_o2025-01_B_direct,True,
mapping_fit_rows_y2025_h06_o2025-01_C_direct,True,
mapping_shift_y2025_h06_o2025-01_C_direct,True,
mapping_fit_rows_y2025_h06_o2025-01_D_residual_residual,True,
mapping_isotonic_y2025_h06_o2025-01_D_residual_residual,True,
mapping_fit_rows_y2025_h06_o2025-01_D_residual_fallback_direct,True,
