test_year,horizon,cohort,n_rows,n_areas,target_months,cohort_sha256,specification,status,reason,tp,fp,fn,tn,n,precision,precision_reason,recall,recall_reason,f1,f1_reason,f2,f2_reason,prevalence,accuracy,accuracy_reason,r2_q3,r2_q3_reason,predicted_prevalence,n_actual_phase1,n_pred_phase1,n_actual_phase2,n_pred_phase2,n_actual_phase3,n_pred_phase3,n_actual_phase4,n_pred_phase4,n_actual_phase5,n_pred_phase5,mean_q3_pred
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,B,ok,,138.0,128.0,0.0,3.0,269.0,0.518796992481203,,1.0,,0.6831683168316832,,0.843520782396088,,0.5130111524163569,0.4795539033457249,,-0.23705633632682965,,0.9888475836431226,7.0,0.0,124.0,3.0,126.0,266.0,12.0,0.0,0.0,0.0,0.294278400870504
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,C,ok,,137.0,125.0,1.0,6.0,269.0,0.5229007633587787,,0.9927536231884058,,0.685,,0.8415233415233415,,0.5130111524163569,0.48698884758364314,,-0.2594964658498162,,0.9739776951672863,7.0,0.0,124.0,7.0,126.0,262.0,12.0,0.0,0.0,0.0,0.2926348343657738
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,D,ok,,135.0,109.0,3.0,22.0,269.0,0.5532786885245902,,0.9782608695652174,,0.7068062827225131,,0.8479899497487438,,0.5130111524163569,0.5427509293680297,,-0.18496910195697192,,0.9070631970260223,7.0,1.0,124.0,24.0,126.0,244.0,12.0,0.0,0.0,0.0,0.28791022887903517
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,persistence,ok,,87.0,34.0,51.0,97.0,269.0,0.71900826446281,,0.6304347826086957,,0.6718146718146718,,0.6463595839524517,,0.5130111524163569,0.5910780669144982,,,not applicable: phase-only baseline,,,,,,,,,,,,
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,always_crisis,ok,,138.0,131.0,0.0,0.0,269.0,0.5130111524163569,,1.0,,0.6781326781326781,,0.8404384896467723,,0.5130111524163569,,not applicable: binary-only reference,,not applicable: binary-only reference,,,,,,,,,,,,
2025,12,primary,1100,904,2025-04;2025-07;2025-10,2d89de95e7bb01710da351326433006e73d38c0c33488bcfa6c29e6360d3936e,A,ok,,478.0,507.0,61.0,54.0,1100.0,0.4852791878172589,,0.8868274582560297,,0.6272965879265092,,0.760904170646291,,0.49,0.41909090909090907,,-0.2053082450211965,,0.8954545454545455,31.0,0.0,530.0,115.0,466.0,985.0,73.0,0.0,0.0,0.0,0.2703234130482782
2025,12,primary,1100,904,2025-04;2025-07;2025-10,2d89de95e7bb01710da351326433006e73d38c0c33488bcfa6c29e6360d3936e,B,ok,,489.0,519.0,50.0,42.0,1100.0,0.4851190476190476,,0.9072356215213359,,0.632191338073691,,0.77275600505689,,0.49,0.4163636363636364,,-0.1358866909988774,,0.9163636363636364,31.0,0.0,530.0,92.0,466.0,1005.0,73.0,3.0,0.0,0.0,0.24789245972579177
2025,12,primary,1100,904,2025-04;2025-07;2025-10,2d89de95e7bb01710da351326433006e73d38c0c33488bcfa6c29e6360d3936e,C,ok,,518.0,533.0,21.0,28.0,1100.0,0.4928639391056137,,0.961038961038961,,0.6515723270440251,,0.8076083567196757,,0.49,0.43,,-0.2230898028216708,,0.9554545454545454,31.0,0.0,530.0,49.0,466.0,1050.0,73.0,1.0,0.0,0.0,0.27635145007209344
2025,12,primary,1100,904,2025-04;2025-07;2025-10,2d89de95e7bb01710da351326433006e73d38c0c33488bcfa6c29e6360d3936e,D,ok,,479.0,459.0,60.0,102.0,1100.0,0.5106609808102346,,0.8886827458256029,,0.6486120514556534,,0.7740788623141565,,0.49,0.4718181818181818,,-0.1430702825524044,,0.8527272727272728,31.0,0.0,530.0,162.0,466.0,936.0,73.0,2.0,0.0,0.0,0.2558891939845952
2025,12,primary,1100,904,2025-04;2025-07;2025-10,2d89de95e7bb01710da351326433006e73d38c0c33488bcfa6c29e6360d3936e,always_crisis,ok,,539.0,561.0,0.0,0.0,1100.0,0.49,,1.0,,0.6577181208053692,,0.8277027027027027,,0.49,,not applicable: binary-only reference,,not applicable: binary-only reference,,,,,,,,,,,,
