test_year,horizon,cohort,contrast,point_delta_f2_before,ci_low_before,ci_high_before,point_delta_f2_after,ci_low_after,ci_high_after
2025,6,persistence_subset,D-always_crisis,0.0086181141268126,-0.0105903716005598,0.0245418748505202,0.0075514601019714,-0.0110954395231963,0.0226461969297171
2025,12,primary,B-A,0.011851834410599,-0.0125279570436609,0.0351298151454389,0.011851834410599,-0.0125279570436609,0.0351298151454389
2025,12,primary,C-B,0.0348523516627856,0.0153409428863517,0.0548979373243294,0.0348523516627856,0.0153409428863517,0.0548979373243294
2025,12,primary,D-C,-0.0335294944055192,-0.0541142799739344,-0.0135160304844561,-0.0335294944055192,-0.0541142799739344,-0.0135160304844561
2025,12,primary,A-always_crisis,-0.0667985320564117,-0.0872426473394497,-0.0475566600370475,-0.0667985320564117,-0.0872426473394497,-0.0475566600370475
2025,12,primary,B-always_crisis,-0.0549466976458127,-0.0730326515677038,-0.0377588624535714,-0.0549466976458127,-0.0730326515677038,-0.0377588624535714
2025,12,primary,C-always_crisis,-0.020094345983027,-0.0318174704511789,-0.0084458751269564,-0.020094345983027,-0.0318174704511789,-0.0084458751269564
2025,12,primary,D-always_crisis,-0.0536238403885462,-0.0740501379106525,-0.0343238951817731,-0.0536238403885462,-0.0740501379106525,-0.0343238951817731
2025,12,persistence_subset,A-persistence,0.0522038169692429,0.0111634850826106,0.0914863509894833,0.0522038169692429,0.0111634850826106,0.0914863509894833
2025,12,persistence_subset,B-persistence,0.0647133607812466,0.0254489160178957,0.1029550839477963,0.0647133607812466,0.0254489160178957,0.1029550839477963
2025,12,persistence_subset,C-persistence,0.0998002093711502,0.0622473964055508,0.1358624310055184,0.0998002093711502,0.0622473964055508,0.1358624310055184
2025,12,persistence_subset,D-persistence,0.0661032003590134,0.02951472849397,0.102789785538437,0.0661032003590134,0.02951472849397,0.102789785538437
2025,12,persistence_subset,A-always_crisis,-0.0682028822360882,-0.0886377685322721,-0.0478630772401907,-0.0682028822360882,-0.0886377685322721,-0.0478630772401907
2025,12,persistence_subset,B-always_crisis,-0.0556933384240845,-0.0744378783195925,-0.0377910931765365,-0.0556933384240845,-0.0744378783195925,-0.0377910931765365
2025,12,persistence_subset,C-always_crisis,-0.020606489834181,-0.0332732909323975,-0.0088797078797006,-0.020606489834181,-0.0332732909323975,-0.0088797078797006
2025,12,persistence_subset,D-always_crisis,-0.0543034988463178,-0.0752264702904293,-0.0342140477020732,-0.0543034988463178,-0.0752264702904293,-0.0342140477020732
