polygon_id,year,n,TP_count,TN_count,FP_count,FN_count,error_rate,accuracy
13090172,2023,360,342,0,18,0,0.05,0.95
13090174,2023,360,306,0,36,18,0.15,0.85
13090176,2023,360,0,342,0,18,0.05,0.95
13090178,2023,360,234,72,36,18,0.15,0.85
13090180,2023,360,270,0,72,18,0.25,0.75
13090182,2023,360,306,0,36,18,0.15,0.85
13090184,2023,360,270,0,90,0,0.25,0.75
13090186,2023,360,216,36,108,0,0.3,0.7
13090188,2023,360,342,0,0,18,0.05,0.95
13090190,2023,360,90,54,216,0,0.6,0.4
13090192,2022,144,0,144,0,0,0.0,1.0
13090192,2023,216,144,18,36,18,0.25,0.75
13090194,2023,360,270,0,72,18,0.25,0.75
13090196,2023,360,180,36,54,90,0.4,0.6
13090198,2023,360,360,0,0,0,0.0,1.0
13090200,2023,360,288,36,36,0,0.1,0.9
13090202,2023,360,324,0,36,0,0.1,0.9
13090204,2023,360,216,36,108,0,0.3,0.7
13090206,2023,360,54,252,0,54,0.15,0.85
13090208,2022,360,0,270,18,72,0.25,0.75
13090210,2023,360,180,0,144,36,0.5,0.5
13090212,2023,360,180,54,126,0,0.35,0.65
13118395,2023,180,0,144,0,36,0.2,0.8
13118397,2023,180,36,144,0,0,0.0,1.0
13118399,2023,180,0,180,0,0,0.0,1.0
13118401,2023,180,0,180,0,0,0.0,1.0
13118403,2023,180,45,90,0,45,0.25,0.75
13118405,2023,180,0,180,0,0,0.0,1.0
13118407,2023,180,0,180,0,0,0.0,1.0
13118409,2023,180,0,180,0,0,0.0,1.0
13118411,2023,180,0,180,0,0,0.0,1.0
13118413,2023,180,0,135,0,45,0.25,0.75
13118415,2023,180,0,180,0,0,0.0,1.0
13118417,2023,180,0,180,0,0,0.0,1.0
13118419,2023,180,0,180,0,0,0.0,1.0
13118421,2023,180,0,90,0,90,0.5,0.5
13118423,2023,180,0,180,0,0,0.0,1.0
13118425,2023,180,0,180,0,0,0.0,1.0
13118427,2023,180,0,135,0,45,0.25,0.75
13118429,2023,180,0,135,0,45,0.25,0.75
13118431,2023,180,45,135,0,0,0.0,1.0
13118433,2023,180,0,90,0,90,0.5,0.5
13118435,2023,180,0,180,0,0,0.0,1.0
13118437,2023,180,0,135,0,45,0.25,0.75
13480314,2024,180,180,0,0,0,0.0,1.0
13480318,2024,180,180,0,0,0,0.0,1.0
13480334,2024,180,180,0,0,0,0.0,1.0
13480336,2024,180,180,0,0,0,0.0,1.0
13578391,2022,180,66,16,48,50,0.5444444444444444,0.45555555555555555
13578393,2022,180,0,82,16,82,0.5444444444444444,0.45555555555555555
13578395,2022,180,22,23,22,113,0.75,0.25
13578397,2022,180,81,82,0,17,0.09444444444444444,0.9055555555555556
