job_id,view,target,bundle,kind,n_rows,path,sha256,feature_order_sha256
y2025_h00_o2025-10,D_residual,q3_direct,X6,xgboost,3057,y2025_h00_o2025-10_D_residual_q3_direct.ubj,8b405f0b370f96b6074f2b8ae8c27adff8d17c9eeac3d6c2e1ea5286bee5b52a,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-10,D_residual,q3_residual_delta,X6,xgboost,2305,y2025_h00_o2025-10_D_residual_q3_residual_delta.ubj,7f1e0af117a00d877589dededf72ea9842715a9c10a97f92af83c00a80425e87,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2026_h00_o2026-04,A,q2,X2,xgboost,3804,y2026_h00_o2026-04_A_q2.ubj,62401d3b1fbe9c76149f6b16c40a8a1d0b64997167da299dd9144bb5f5494ccb,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2026_h00_o2026-04,A,q4,X2,xgboost,3804,y2026_h00_o2026-04_A_q4.ubj,55f38066b965e2063e4adfc91202f5d558f493b647adcb3d4fe95ae8e801986c,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2026_h00_o2026-04,A,q5,X2,xgboost,3804,y2026_h00_o2026-04_A_q5.ubj,4f85d8b264fad00cd6b97161e10e37e5c0d09fc2247216c0606e7ac8e6a47145,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2026_h00_o2026-04,A,q3_direct,X2,xgboost,3804,y2026_h00_o2026-04_A_q3_direct.ubj,807490f870ed2bce7a75a3a6896f3b5089793596eae60f99f4b6552903114f21,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2026_h00_o2026-04,B,q2,X6,xgboost,3804,y2026_h00_o2026-04_B_q2.ubj,13407ac841ca5e1933a2175b433377b623f3828b9e468e9bcbd2255d77f44d19,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2026_h00_o2026-04,B,q4,X6,xgboost,3804,y2026_h00_o2026-04_B_q4.ubj,39e35b5f25ab6550780de3cfeb40d379d7cd826015f609922c07ec7c31496c37,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2026_h00_o2026-04,B,q5,X6,xgboost,3804,y2026_h00_o2026-04_B_q5.ubj,24defc30410f8895c34cff1f99643bf8744d913b51908bc8acb670ebdf870f42,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2026_h00_o2026-04,B,q3_direct,X6,xgboost,3804,y2026_h00_o2026-04_B_q3_direct.ubj,2c59d58c4cf7224cab043484aeac8911b39fc4696fbb5f2bfac6e470eceb24e6,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2026_h00_o2026-04,D_direct,q2,X1,xgboost,3804,y2026_h00_o2026-04_D_direct_q2.ubj,b9a84bc2ad90fb9dc42554f2a9b7dfd5fb411f89093b744d5bf792f221d6ad74,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2026_h00_o2026-04,D_direct,q4,X1,xgboost,3804,y2026_h00_o2026-04_D_direct_q4.ubj,8cd275ece16a5963ac56ffd76f887cad7411800749c9fcabf0747e3e56a6c028,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2026_h00_o2026-04,D_direct,q5,X1,xgboost,3804,y2026_h00_o2026-04_D_direct_q5.ubj,768edc0e516fe00cc77e15ca77710edd5e4155024699c5481292dedb04e75ff4,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2026_h00_o2026-04,D_direct,q3_direct,X1,xgboost,3804,y2026_h00_o2026-04_D_direct_q3_direct.ubj,16b447462d2d5643eb6e53d23f2adffb0452a088d55f7ab32b2245dd1dc1d388,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2026_h00_o2026-04,D_residual,q2,X1,xgboost,3804,y2026_h00_o2026-04_D_residual_q2.ubj,b9a84bc2ad90fb9dc42554f2a9b7dfd5fb411f89093b744d5bf792f221d6ad74,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2026_h00_o2026-04,D_residual,q4,X1,xgboost,3804,y2026_h00_o2026-04_D_residual_q4.ubj,8cd275ece16a5963ac56ffd76f887cad7411800749c9fcabf0747e3e56a6c028,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2026_h00_o2026-04,D_residual,q5,X1,xgboost,3804,y2026_h00_o2026-04_D_residual_q5.ubj,768edc0e516fe00cc77e15ca77710edd5e4155024699c5481292dedb04e75ff4,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2026_h00_o2026-04,D_residual,q3_direct,X1,xgboost,3804,y2026_h00_o2026-04_D_residual_q3_direct.ubj,16b447462d2d5643eb6e53d23f2adffb0452a088d55f7ab32b2245dd1dc1d388,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
